imo,description,ship_type
9477787,Container Ship,Cargo - Hazard A (Major)
8002286,"Inland, Motor Freighter",Cargo
9458987,Bulk Carrier,Cargo
9219719,Research/Survey Vessel,Fishing
6503688,Tanker,Tanker
1053602,Tug,Tug
9252486,Tug,Tug
9610107,LPG/Chemical Tanker,Tanker
9360049,Yacht,Pleasure Craft
9167502,General Cargo,Cargo
9686479,Pusher Tug,Tug
9309813,Tug,Tug
7722073,Pusher Tug,Tug
7902087,Fishing Vessel,Fishing
9663790,Yacht,Pleasure Craft
9758806,Tug,Other
9349277,Work Vessel,Dredger
9343649,Oil/Chemical Tanker,Tanker - Hazard A (Major)
9003598,General Cargo,Cargo
9555010,Fish Carrier,Cargo
9142198,Container Ship,Cargo
9762522,Tug,Tug
9950973,Container Ship,Cargo - Hazard D (Recognizable)
8807284,Trawler,Fishing
1034694,Tug,Other
9367011,Utility Vessel,Passenger
8721765,Fishing Vessel,Fishing
9292553,Bulk Carrier,Cargo
1081908,Bulk Carrier,Cargo
9224609,High Speed Craft,High Speed Craft
9648532,Tug,
8937845,Patrol Vessel,Military Ops
7601229,Cement Carrier,
9332080,Tug,Tug
9390812,Container Ship,Cargo
8654405,Tug,Tug
8317356,Reefer,Cargo
8221911,General Cargo,Cargo
7369962,Container Ship,Cargo
9275268,Oil Products Tanker,Tanker
9970349,Oil Products Tanker,Tanker
9541980,Multi Purpose Offshore Vessel,Tug
9698783,Multi Purpose Offshore Vessel,Other
9706384,Crude Oil Tanker,Tanker
9977957,Bulk Carrier,Cargo
9796896,Trawler,Fishing
1101485,High Speed Craft,High Speed Craft
9348596,General Cargo,Cargo
8216590,Multi Purpose Offshore Vessel,
9918377,Fishing Vessel,Fishing
9190030,Crew Boat,Passenger
9518414,General Cargo,Cargo - Hazard D (Recognizable)
9067984,General Cargo,Cargo
9226293,Multi Purpose Offshore Vessel,Cargo
7706251,General Cargo,Cargo
9887645,Pilot Ship,Pilot Vessel
6919746,Bunkering Tanker,Tanker
9966116,Container Ship,Cargo
9695236,Yacht,Pleasure Craft
9836878,Reefer,Cargo
9106156,Crude Oil Tanker,Tanker
9304382,Bulk Carrier,Cargo
1120950,Tug/Supply Vessel,Other
8648626,Fishing Vessel,Fishing
9333981,Fishery Patrol Vessel,Law Enforce
9313486,Crude Oil Tanker,Tanker
9826720,Crude Oil Tanker,Tanker - Hazard C (Minor)
7432824,General Cargo,Cargo
7234868,Fishing Vessel,Fishing
9549011,Utility Vessel,Other
9187590,Floating Storage/Production,Other
9965710,LPG Tanker,Tanker
9883534,Bulk Carrier,Cargo
9091296,Pilot Ship,Pilot Vessel
9519456,Tug,Tug
9468059,Multi Purpose Offshore Vessel,Cargo
9924259,Multi Purpose Offshore Vessel,Other
9978731,Container Ship,Cargo
9322114,Oil/Chemical Tanker,Tanker
6827981,Tug,Tug
6900446,Ro-Ro Cargo,Cargo
9558127,Bulk Carrier,Cargo
9872834,Fire Fighting Vessel,Tug
9346342,Bulk Carrier,Cargo
8109761,Towing Vessel,Cargo
9169586,Trawler,Fishing
8217013,Container Ship,Cargo
