seaport_id,seaport_name,country_id,latitude,longitude
CNYON,Yongtai,CN,23.41667,112.4
CNYSA,Yangshan Pt,CN,30.6174595,122.0852074
CNYSN,Yangshan,CN,24.466675,112.626495
CNYTP,Yantai Pt,CN,37.41058,121.378119
CNYUF,Yunfu,CN,22.93333,112.03333
CNZAP,Zhapu,CN,30.6,121.06667
CNZGL,Gaolan,CN,21.93333,113.21667
CNZOS,Zhoushan,CN,29.985295,122.207215
CNZXN,Zhongxian,CN,30.29956,108.039002
CNZYO,Zhuangyuanao,CN,27.883,121.117
CXFFC,Flying Fish Cove,CX,-10.4167,105.7167
CYAKT,Akrotiri,CY,34.6,32.95
CYDHK,Dhekelia,CY,34.9833,33.75
CYFMG,Famagusta,CY,35.1,33.95
CYKAR,Karavostasi,CY,35.1333,32.8333
CYKYR,Kyrenia,CY,35.3333,33.3333
CYLCA,Larnaca,CY,34.9167,33.6167
CYLAT,Latchi,CY,35.0333,32.4
CYLMS,Limassol,CY,34.6833,33.05
CYMOI,Moni,CY,34.7333,33.2
CYNIC,Nicosia,CY,35.1667,33.3667
CYPFO,Paphos,CY,34.7667,32.4167
CYVAS,Vasilikos,CY,34.7167,33.3167
CYZYY,Zyyi,CY,34.7333,33.3333
CYANM,Ayia Napa,CY,34.983,34.0
CYARA,Aradhippou,CY,34.95,33.58333
CYAVA,Ayia Varvara,CY,34.9968356,33.3694007
CYAYI,Ayia Napa,CY,34.98333,34.0
CYERG,Ergates,CY,35.0541055,33.2436859
CYGEO,Ayios Georgios,CY,34.9,32.31667
